source,external_id,platform,name,link,date_launched,scope_type,bounty_min,bounty_max,first_seen_at,last_changed_at
bbradar,Immunefi:bitflow,Immunefi,Bitflow,https://immunefi.com/bug-bounty/bitflow/information/,2025-11-26,"smart contract,domain,clarity",1000.0,100000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:58:33+00:00
bbradar,Immunefi:ethena,Immunefi,Ethena,https://immunefi.com/bug-bounty/ethena/information/,2024-04-04,"smart contract,domain",2500.0,3000000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:58:33+00:00
bbradar,Immunefi:orderlynetwork,Immunefi,Orderly Network,https://immunefi.com/bug-bounty/orderlynetwork/information/,2024-02-27,"smart contract,domain,solidity",0.0,100000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:58:33+00:00
bbradar,Immunefi:ostium,Immunefi,Ostium,https://immunefi.com/bug-bounty/ostium/information/,2025-04-30,domain,1000.0,100000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:58:33+00:00
bbradar,Immunefi:vesu,Immunefi,Vesu,https://immunefi.com/bug-bounty/vesu/information/,2024-07-10,"smart contract,cairo",1000.0,100000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:58:33+00:00
bbradar,Immunefi:zano,Immunefi,Zano,https://immunefi.com/bug-bounty/zano/information/,2025-07-14,"domain,blockchain-dlt,c++",2000.0,10000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:58:33+00:00
bbradar,Immunefi:alpen-labs,Immunefi,Alpen Labs,https://immunefi.com/bug-bounty/alpen-labs/information/,2025-07-09,"smart contract,domain",1000.0,5000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:51:45+00:00
bbradar,Immunefi:dexeprotocol,Immunefi,DeXe Protocol,https://immunefi.com/bug-bounty/dexeprotocol/information/,2024-01-23,"smart contract,python,typescript,go",1000.0,500000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:51:45+00:00
bbradar,Immunefi:notional-exponent,Immunefi,Notional Exponent,https://immunefi.com/bug-bounty/notional-exponent/information/,2026-01-16,smart contract,10000.0,250000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:51:45+00:00
bbradar,Immunefi:ofza-1,Immunefi,OFZA,https://immunefi.com/bug-bounty/ofza-1/information/,2025-06-18,domain,500.0,10000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:51:45+00:00
bbradar,Immunefi:ens,Immunefi,ENS,https://immunefi.com/bug-bounty/ens/information/,2024-05-10,"smart contract,domain,solidity",1000.0,250000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:28:57+00:00
bbradar,Immunefi:kiln-webapp,Immunefi,Kiln (dApp/Infra),https://immunefi.com/bug-bounty/kiln-webapp/information/,2025-10-30,domain,1000.0,100000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:28:57+00:00
bbradar,Immunefi:nftfitestnetrefi,Immunefi,NFTfi (Testnet Refi),https://immunefi.com/bug-bounty/nftfitestnetrefi/information/,2024-01-17,"smart contract,solidity",20000.0,20000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:28:57+00:00
bbradar,Immunefi:parallel,Immunefi,Parallel,https://immunefi.com/bug-bounty/parallel/information/,2025-10-02,"smart contract,domain,javascript,solidity,typescript,go",1000.0,250000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:09:32+00:00
bbradar,Immunefi:termstructurelabs,Immunefi,TermMax,https://immunefi.com/bug-bounty/termstructurelabs/information/,2024-06-12,"smart contract,domain,solidity",1500.0,50000.0,2026-02-28T06:15:35+00:00,2026-02-28T10:09:32+00:00
bbradar,Immunefi:exodus,Immunefi,Exodus,https://immunefi.com/bug-bounty/exodus/information/,2025-12-30,domain,500.0,18000.0,2026-02-28T06:15:35+00:00,2026-02-28T09:49:43+00:00
bbradar,Immunefi:firedancer,Immunefi,Firedancer,https://immunefi.com/bug-bounty/firedancer/information/,2024-09-18,"blockchain-dlt,rust,c++",5000.0,500000.0,2026-02-28T06:15:35+00:00,2026-02-28T09:49:43+00:00
bbradar,Immunefi:velvetcapital,Immunefi,Velvet Capital,https://immunefi.com/bug-bounty/velvetcapital/information/,2023-12-15,smart contract,1000.0,51000.0,2026-02-28T06:15:35+00:00,2026-02-28T09:49:43+00:00
vigilseek,Immunefi:stakeeasy,Immunefi,StakeEasy,https://immunefi.com/bug-bounty/stakeeasy/information/,2023-04-06T17:00:00.000Z,"bugbounty, smartcontract",,8000.0,2026-02-28T09:00:04+00:00,2026-02-28T09:00:04+00:00
vigilseek,HackenProof:aurora-smart-contract,HackenProof,Aurora Smart Contract,https://hackenproof.com/programs/aurora-smart-contract,2023-04-01T00:00:00.000Z,"bugbounty, smartcontract",,300000.0,2026-02-28T09:00:04+00:00,2026-02-28T09:00:04+00:00
vigilseek,HackenProof:aurora-web,HackenProof,Aurora Web,https://hackenproof.com/programs/aurora-web,2023-04-01T00:00:00.000Z,"bugbounty, web",,100000.0,2026-02-28T09:00:04+00:00,2026-02-28T09:00:04+00:00
vigilseek,Immunefi:sweateconomy,Immunefi,Sweat Economy,https://immunefi.com/bug-bounty/sweateconomy/information/,2023-03-31T18:00:00.000Z,"bugbounty, smartcontract",,2000000.0,2026-02-28T09:00:04+00:00,2026-02-28T09:00:04+00:00
vigilseek,Immunefi:mayaprotocol,Immunefi,Maya Protocol,https://immunefi.com/bug-bounty/mayaprotocol/information/,2023-03-29T17:00:00.000Z,"bugbounty, blockchain/dlt",,35000.0,2026-02-28T09:00:04+00:00,2026-02-28T09:00:04+00:00
vigilseek,HackenProof:dodo-v3,HackenProof,DODO V3,https://hackenproof.com/programs/dodo-v3,2023-03-28T00:00:00.000Z,"bugbounty, smartcontract",,10000.0,2026-02-28T09:00:04+00:00,2026-02-28T09:00:04+00:00
vigilseek,Immunefi:hathornetwork,Immunefi,Hathor Network,https://immunefi.com/bug-bounty/hathornetwork/information/,2023-03-15T19:00:00.000Z,"bugbounty, blockchain/dlt",,30000.0,2026-02-28T09:00:04+00:00,2026-02-28T09:00:04+00:00
vigilseek,HackenProof:status,HackenProof,Status,https://hackenproof.com/programs/status,2023-03-15T00:00:00.000Z,"bugbounty, web",,5000.0,2026-02-28T09:00:04+00:00,2026-02-28T09:00:04+00:00
vigilseek,Immunefi:zksyncera,Immunefi,ZKsync Era,https://immunefi.com/bug-bounty/zksyncera/information/,2023-03-10T17:00:00.000Z,"bugbounty, smartcontract",,1100000.0,2026-02-28T09:00:04+00:00,2026-02-28T09:00:04+00:00
vigilseek,Immunefi:ondofinance,Immunefi,Ondo Finance,https://immunefi.com/bug-bounty/ondofinance/information/,2023-03-07T21:00:00.000Z,"bugbounty, smartcontract",,1000000.0,2026-02-28T09:00:04+00:00,2026-02-28T09:00:04+00:00
vigilseek,HackenProof:dodofeerouteproxy-smart-contract,HackenProof,DODOFeeRouteProxy Smart Contract,https://hackenproof.com/programs/dodofeerouteproxy-smart-contract,2023-03-06T00:00:00.000Z,"bugbounty, smartcontract",,10000.0,2026-02-28T09:00:04+00:00,2026-02-28T09:00:04+00:00
