external_id,platform,name,program_link,date_launched,scope_type,github_link_count,github_links
Code4rena:2026-02-injective-peggy-bridge,Code4rena,Injective Peggy Bridge,https://code4rena.com/audits/2026-02-injective-peggy-bridge,2026-02-25,"smart contract,go",0,
Code4rena:2026-02-jupiter-lend,Code4rena,Jupiter Lend,https://code4rena.com/audits/2026-02-jupiter-lend,2026-02-12,"smart contract,rust",0,
HackenProof:1inch-aqua,HackenProof,1inch Aqua,https://hackenproof.com/programs/1inch-aqua,2025-11-17,"other,smart contract,solidity",2,https://github.com/1inch/aqua | https://github.com/1inch/swap-vm
HackenProof:1inch-business,HackenProof,1inch Business,https://hackenproof.com/programs/1inch-business,2025-06-23,"api,domain",0,
HackenProof:1inch-infrastructure,HackenProof,1inch Infrastructure,https://hackenproof.com/programs/1inch-infrastructure,2025-06-23,"api,domain",0,
HackenProof:1inch-wallet,HackenProof,1inch Wallet,https://hackenproof.com/programs/1inch-wallet,2025-06-23,"domain,mobile",0,
HackenProof:1inch-web,HackenProof,1inch Web,https://hackenproof.com/programs/1inch-web,2025-06-23,domain,9,https://github.com/1inch/calldata-compressor | https://github.com/1inch/cross-chain-swap | https://github.com/1inch/delegating | https://github.com/1inch/farming | https://github.com/1inch/fusion-protocol | https://github.com/1inch/limit-order-protocol | https://github.com/1inch/solana-crosschain-protocol | https://github.com/1inch/solana-fusion | https://github.com/1inch/token-plugins
HackenProof:adi-foundation-smart-contracts,HackenProof,ADI Foundation Smart Contracts,https://hackenproof.com/programs/adi-foundation-smart-contracts,2025-12-09,"other,smart contract,solidity",3,https://github.com/ADI-Foundation-Labs/ADI-Stack-Contracts/tree/04346d566e7625ae42ec74861da409329f9f4a3d/da-contracts | https://github.com/ADI-Foundation-Labs/ADI-Stack-Contracts/tree/04346d566e7625ae42ec74861da409329f9f4a3d/l1-contracts | https://github.com/ADI-Foundation-Labs/ADI-Stack-Contracts/tree/04346d566e7625ae42ec74861da409329f9f4a3d/l2-contracts
HackenProof:adi-foundation-zkvm-verification,HackenProof,ADI Foundation zkVM Verification,https://hackenproof.com/programs/adi-foundation-zkvm-verification,2025-12-09,"blockchain-dlt,other,rust,smart contract,solidity",5,https://github.com/ADI-Foundation-Labs/ADI-Stack-Airbender-Prover/tree/4f0cf4cd1a0d7cf48d366135e53da7960b936932 | https://github.com/ADI-Foundation-Labs/ADI-Stack-Airbender-System/tree/357b836552d72550b20a341e1b45b730bef87806 | https://github.com/ADI-Foundation-Labs/ADI-Stack-Contracts/tree/04346d566e7625ae42ec74861da409329f9f4a3d/l1-contracts/contracts/state-transition | https://github.com/ADI-Foundation-Labs/ADI-Stack-Protocol/tree/767759541cd018e4271f9774f0d760ce727c905d | https://github.com/ADI-Foundation-Labs/ADI-Stack-zkOS-Wrapper/tree/eb75ad8ee972c63a30ef1121a1b9dc79a2942569
HackenProof:amlbot-web,HackenProof,AMLBot Web,https://hackenproof.com/programs/amlbot-web,2025-12-09,domain,0,
